country_code,country_name,region
MWI,Malawi,Africa
MYS,Malaysia,Asia
NAM,Namibia,Africa
NER,Niger,Africa
NGA,Nigeria,Africa
NIC,Nicaragua,Central America
NLD,Netherlands,Europe
NOR,Norway,Europe
NPL,Nepal,Asia
NRU,Nauru,Oceania
NZL,New Zealand,Oceania
OMN,Oman,Middle East
PAK,Pakistan,Middle East
PAN,Panama,Central America
PER,Peru,South America
PHL,Philippines,Asia
PLW,Palau,Oceania
PNG,Papua New Guinea,Oceania
POL,Poland,Oceania
PRI,Puerto Rico,Caribbean
PRT,Portugal,Europe
PRY,Paraguay,South America
PSE,Palestine,Middle East
QAT,Qatar,Middle East
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
SAU,Saudi Arabia,Middle East
SDN,Sudan,Africa
SEN,Senegal,Africa
SGP,Singapore,Asia
SLB,Solomon Islands,Oceania
SLE,Sierra Leone,Africa
SLV,El Salvador,Central America
SMR,San Marino,Europe
SOM,Somalia,Africa
SRB,Serbia,Europe
STP,Sao Tome and Principe,Africa
SUR,Suriname,South America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SWE,Sweden,Europe
SWZ,Eswatini,Africa
SXM,Sint Maarten,Caribbean
SYC,Seychelles,Africa
SYR,Syria,Middle East
TCA,Turks and Caicos Islands,Caribbean
TCD,Chad,Africa
TGO,Togo,Africa
THA,Thailand,Asia
TJK,Tajikistan,Asia
TKM,Turkmenistan,Asia
TLS,Timor,Oceania
TON,Tonga,Africa
TTO,Trinidad and Tobago,Caribbean
TUN,Tunisia,Africa
TUR,Turkey,Europe
TUV,Tuvalu,Oceania
TZA,Tanzania,Africa
UGA,Uganda,Africa
UKR,Ukraine,Europe
URY,Uruguay,South America
USA,United States of America,North America
UZB,Uzbekistan,Asia
VCT,St. Vincent and Grenadines,Caribbean
VEN,Venezuela,South America
VNM,Vietnam,Asia
VUT,Vanuatu,Oceania
WSM,Samoa,Oceania
XKX,Kosovo,Europe
YEM,Yemen,Middle East
ZAF,South Africa,Africa
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
